"V1","V2"
0.857484000585198,0.00299527673586681
0.773447913089107,0.271400023356826
0.24859597271028,0.814029530463308
0.222461953822543,0.505923165295277
0.542117222389295,0.61587362459435
0.0941173971110067,0.442402211022484
0.57678247219202,0.0709080143712617
0.447927070355236,0.843803448954392
0.0749235308226418,0.893219029714716
0.736882851056669,0.897486032610083
0.290367088140071,0.650147116098227
0.843412722095346,0.606065250714676
0.881280714950149,0.841937733609939
0.592831234286748,0.246556841135915
0.481275543827869,0.594096420698812
0.893260954133765,0.403988537385505
0.376718333539882,0.636714051579247
0.225294790198402,0.676305887911381
0.054948394286741,0.564447696415037
0.581134204258191,0.3781727246614
0.416616117036006,0.73460562219796
0.497010968713621,0.991545914495725
0.105834610763378,0.141904561434907
0.328009903949234,0.185790514025005
0.471423140972856,0.0293570060996006
0.572825851651788,0.980528445204235
0.199472989535514,0.0106958181654872
0.478309962546563,0.79816391063344
0.413522421850977,0.0677172257763294
0.25058186918521,0.746187442961845
0.701120716247966,0.433639167853852
0.284415554292136,0.322843142587546
0.379020452926926,0.200238078052532
0.197816514909695,0.89796192100646
0.604253983983032,0.279200361825916
0.566121987475402,0.259459180284177
0.96919496604068,0.967498692739692
0.70122740460916,0.815447912228565
0.182876358283284,0.374393446108754
0.364660038577693,0.814878859672417
0.975312325373516,0.478281736253435
0.818475850914367,0.796881356451503
0.140025415486956,0.190972362580302
0.341761202804356,0.0589755261938343
0.617406600951351,0.540297774221268
0.995915947517035,0.139614190682711
0.418698009124302,0.920514053540985
0.237777469553452,0.326129668353817
0.218719104186998,0.112801484871355
0.607286914558075,0.864443618060153
0.382782359751577,0.775606549420898
0.669462298333682,0.738214981171469
0.319590099499268,0.209748843830954
0.22348537284065,0.163736964822116
0.684522443306788,0.226611525084636
0.876401797237707,0.365797288270163
0.338910261283939,0.599532568990899
0.594190467519597,0.860509702699729
0.0294233532901987,0.890099660991861
0.423813778244254,0.361617582434895
0.856099220008738,0.188857349167189
0.211463351031853,0.900915991373017
